00001 A00     0 Cholera                                                      Cholera
56738 S6790   0 Crushing inj unsp part(s) of unsp wrist, hand and fingers    Crushing injury of unspecified part(s) of unspecified wrist, hand and fingers
56739 S6790XA 1 Crush inj unsp part(s) of unsp wrist, hand and fingers, init Crushing injury of unspecified part(s) of unspecified wrist, hand and fingers, initial encounter
56740 S6790XD 1 Crush inj unsp part(s) of unsp wrist, hand and fingers, subs Crushing injury of unspecified part(s) of unspecified wrist, hand and fingers, subsequent encounter
56741 S6790XS 1 Crush inj unsp part(s) of unsp wrist, hand and fngr, sequela Crushing injury of unspecified part(s) of unspecified wrist, hand and fingers, sequela
56742 S6791   0 Crushing injury of unsp part(s) of r wrist, hand and fingers Crushing injury of unspecified part(s) of right wrist, hand and fingers
56743 S6791XA 1 Crushing inj unsp part(s) of r wrist, hand and fingers, init Crushing injury of unspecified part(s) of right wrist, hand and fingers, initial encounter
56744 S6791XD 1 Crushing inj unsp part(s) of r wrist, hand and fingers, subs Crushing injury of unspecified part(s) of right wrist, hand and fingers, subsequent encounter
56745 S6791XS 1 Crush inj unsp part(s) of r wrist, hand and fingers, sequela Crushing injury of unspecified part(s) of right wrist, hand and fingers, sequela
56746 S6792   0 Crushing injury of unsp part(s) of l wrist, hand and fingers Crushing injury of unspecified part(s) of left wrist, hand and fingers
56747 S6792XA 1 Crushing inj unsp part(s) of l wrist, hand and fingers, init Crushing injury of unspecified part(s) of left wrist, hand and fingers, initial encounter
56748 S6792XD 1 Crushing inj unsp part(s) of l wrist, hand and fingers, subs Crushing injury of unspecified part(s) of left wrist, hand and fingers, subsequent encounter
56749 S6792XS 1 Crush inj unsp part(s) of l wrist, hand and fingers, sequela Crushing injury of unspecified part(s) of left wrist, hand and fingers, sequela
56750 S68     0 Traumatic amputation of wrist, hand and fingers              Traumatic amputation of wrist, hand and fingers
56751 S680    0 Traumatic metacarpophalangeal amputation of thumb            Traumatic metacarpophalangeal amputation of thumb
56752 S6801   0 Complete traumatic metacarpophalangeal amputation of thumb   Complete traumatic metacarpophalangeal amputation of thumb
56753 S68011  0 Complete traumatic MCP amputation of right thumb             Complete traumatic metacarpophalangeal amputation of right thumb
56754 S68011A 1 Complete traumatic MCP amputation of right thumb, init       Complete traumatic metacarpophalangeal amputation of right thumb, initial encounter
56755 S68011D 1 Complete traumatic MCP amputation of right thumb, subs       Complete traumatic metacarpophalangeal amputation of right thumb, subsequent encounter
56756 S68011S 1 Complete traumatic MCP amputation of right thumb, sequela    Complete traumatic metacarpophalangeal amputation of right thumb, sequela
56757 S68012  0 Complete traumatic MCP amputation of left thumb              Complete traumatic metacarpophalangeal amputation of left thumb
56758 S68012A 1 Complete traumatic MCP amputation of left thumb, init        Complete traumatic metacarpophalangeal amputation of left thumb, initial encounter
56759 S68012D 1 Complete traumatic MCP amputation of left thumb, subs        Complete traumatic metacarpophalangeal amputation of left thumb, subsequent encounter
56760 S68012S 1 Complete traumatic MCP amputation of left thumb, sequela     Complete traumatic metacarpophalangeal amputation of left thumb, sequela
56761 S68019  0 Complete traumatic metacarpophalangeal amputation of thmb    Complete traumatic metacarpophalangeal amputation of unspecified thumb
56762 S68019A 1 Complete traumatic MCP amputation of thmb, init              Complete traumatic metacarpophalangeal amputation of unspecified thumb, initial encounter
56763 S68019D 1 Complete traumatic MCP amputation of thmb, subs              Complete traumatic metacarpophalangeal amputation of unspecified thumb, subsequent encounter
56764 S68019S 1 Complete traumatic MCP amputation of thmb, sequela           Complete traumatic metacarpophalangeal amputation of unspecified thumb, sequela
56765 S6802   0 Partial traumatic metacarpophalangeal amputation of thumb    Partial traumatic metacarpophalangeal amputation of thumb
56766 S68021  0 Partial traumatic MCP amputation of right thumb              Partial traumatic metacarpophalangeal amputation of right thumb
56767 S68021A 1 Partial traumatic MCP amputation of right thumb, init        Partial traumatic metacarpophalangeal amputation of right thumb, initial encounter
56768 S68021D 1 Partial traumatic MCP amputation of right thumb, subs        Partial traumatic metacarpophalangeal amputation of right thumb, subsequent encounter
56769 S68021S 1 Partial traumatic MCP amputation of right thumb, sequela     Partial traumatic metacarpophalangeal amputation of right thumb, sequela
56770 S68022  0 Partial traumatic MCP amputation of left thumb               Partial traumatic metacarpophalangeal amputation of left thumb
56771 S68022A 1 Partial traumatic MCP amputation of left thumb, init         Partial traumatic metacarpophalangeal amputation of left thumb, initial encounter
56772 S68022D 1 Partial traumatic MCP amputation of left thumb, subs         Partial traumatic metacarpophalangeal amputation of left thumb, subsequent encounter
56773 S68022S 1 Partial traumatic MCP amputation of left thumb, sequela      Partial traumatic metacarpophalangeal amputation of left thumb, sequela
56774 S68029  0 Partial traumatic metacarpophalangeal amputation of thmb     Partial traumatic metacarpophalangeal amputation of unspecified thumb
56775 S68029A 1 Partial traumatic MCP amputation of thmb, init               Partial traumatic metacarpophalangeal amputation of unspecified thumb, initial encounter
56776 S68029D 1 Partial traumatic MCP amputation of thmb, subs               Partial traumatic metacarpophalangeal amputation of unspecified thumb, subsequent encounter
56777 S68029S 1 Partial traumatic MCP amputation of thmb, sequela            Partial traumatic metacarpophalangeal amputation of unspecified thumb, sequela
56778 S681    0 Traumatic metacarpophalangeal amputation of and unsp finger  Traumatic metacarpophalangeal amputation of other and unspecified finger
56779 S6811   0 Complete traumatic MCP amputation of and unsp finger         Complete traumatic metacarpophalangeal amputation of other and unspecified finger
56780 S68110  0 Complete traumatic MCP amputation of right index finger      Complete traumatic metacarpophalangeal amputation of right index finger
56781 S68110A 1 Complete traumatic MCP amputation of r idx fngr, init        Complete traumatic metacarpophalangeal amputation of right index finger, initial encounter
56782 S68110D 1 Complete traumatic MCP amputation of r idx fngr, subs        Complete traumatic metacarpophalangeal amputation of right index finger, subsequent encounter
56783 S68110S 1 Complete traumatic MCP amputation of r idx fngr, sequela     Complete traumatic metacarpophalangeal amputation of right index finger, sequela
56784 S68111  0 Complete traumatic MCP amputation of left index finger       Complete traumatic metacarpophalangeal amputation of left index finger
56785 S68111A 1 Complete traumatic MCP amputation of left index finger, init Complete traumatic metacarpophalangeal amputation of left index finger, initial encounter
56786 S68111D 1 Complete traumatic MCP amputation of left index finger, subs Complete traumatic metacarpophalangeal amputation of left index finger, subsequent encounter
56787 S68111S 1 Complete traumatic MCP amputation of l idx fngr, sequela     Complete traumatic metacarpophalangeal amputation of left index finger, sequela
56788 S68112  0 Complete traumatic MCP amputation of right middle finger     Complete traumatic metacarpophalangeal amputation of right middle finger
56789 S68112A 1 Complete traumatic MCP amputation of r mid finger, init      Complete traumatic metacarpophalangeal amputation of right middle finger, initial encounter
56790 S68112D 1 Complete traumatic MCP amputation of r mid finger, subs      Complete traumatic metacarpophalangeal amputation of right middle finger, subsequent encounter
56791 S68112S 1 Complete traumatic MCP amputation of r mid finger, sequela   Complete traumatic metacarpophalangeal amputation of right middle finger, sequela
56792 S68113  0 Complete traumatic MCP amputation of left middle finger      Complete traumatic metacarpophalangeal amputation of left middle finger
56793 S68113A 1 Complete traumatic MCP amputation of l mid finger, init      Complete traumatic metacarpophalangeal amputation of left middle finger, initial encounter
56794 S68113D 1 Complete traumatic MCP amputation of l mid finger, subs      Complete traumatic metacarpophalangeal amputation of left middle finger, subsequent encounter
56795 S68113S 1 Complete traumatic MCP amputation of l mid finger, sequela   Complete traumatic metacarpophalangeal amputation of left middle finger, sequela
56796 S68114  0 Complete traumatic MCP amputation of right ring finger       Complete traumatic metacarpophalangeal amputation of right ring finger
56797 S68114A 1 Complete traumatic MCP amputation of right ring finger, init Complete traumatic metacarpophalangeal amputation of right ring finger, initial encounter
56798 S68114D 1 Complete traumatic MCP amputation of right ring finger, subs Complete traumatic metacarpophalangeal amputation of right ring finger, subsequent encounter
56799 S68114S 1 Complete traumatic MCP amputation of r rng fngr, sequela     Complete traumatic metacarpophalangeal amputation of right ring finger, sequela
56800 S68115  0 Complete traumatic MCP amputation of left ring finger        Complete traumatic metacarpophalangeal amputation of left ring finger
56801 S68115A 1 Complete traumatic MCP amputation of left ring finger, init  Complete traumatic metacarpophalangeal amputation of left ring finger, initial encounter
56802 S68115D 1 Complete traumatic MCP amputation of left ring finger, subs  Complete traumatic metacarpophalangeal amputation of left ring finger, subsequent encounter
56803 S68115S 1 Complete traumatic MCP amputation of l rng fngr, sequela     Complete traumatic metacarpophalangeal amputation of left ring finger, sequela
56804 S68116  0 Complete traumatic MCP amputation of right little finger     Complete traumatic metacarpophalangeal amputation of right little finger
56805 S68116A 1 Complete traumatic MCP amputation of r little finger, init   Complete traumatic metacarpophalangeal amputation of right little finger, initial encounter
56806 S68116D 1 Complete traumatic MCP amputation of r little finger, subs   Complete traumatic metacarpophalangeal amputation of right little finger, subsequent encounter
56807 S68116S 1 Complete traumatic MCP amp of r little finger, sequela       Complete traumatic metacarpophalangeal amputation of right little finger, sequela
56808 S68117  0 Complete traumatic MCP amputation of left little finger      Complete traumatic metacarpophalangeal amputation of left little finger
56809 S68117A 1 Complete traumatic MCP amputation of l little finger, init   Complete traumatic metacarpophalangeal amputation of left little finger, initial encounter
56810 S68117D 1 Complete traumatic MCP amputation of l little finger, subs   Complete traumatic metacarpophalangeal amputation of left little finger, subsequent encounter
56811 S68117S 1 Complete traumatic MCP amp of l little finger, sequela       Complete traumatic metacarpophalangeal amputation of left little finger, sequela
56812 S68118  0 Complete traumatic metacarpophalangeal amputation of finger  Complete traumatic metacarpophalangeal amputation of other finger
56813 S68118A 1 Complete traumatic MCP amputation of finger, init            Complete traumatic metacarpophalangeal amputation of other finger, initial encounter
56814 S68118D 1 Complete traumatic MCP amputation of finger, subs            Complete traumatic metacarpophalangeal amputation of other finger, subsequent encounter
56815 S68118S 1 Complete traumatic MCP amputation of finger, sequela         Complete traumatic metacarpophalangeal amputation of other finger, sequela
56816 S68119  0 Complete traumatic MCP amputation of unsp finger             Complete traumatic metacarpophalangeal amputation of unspecified finger
56817 S68119A 1 Complete traumatic MCP amputation of unsp finger, init       Complete traumatic metacarpophalangeal amputation of unspecified finger, initial encounter
56818 S68119D 1 Complete traumatic MCP amputation of unsp finger, subs       Complete traumatic metacarpophalangeal amputation of unspecified finger, subsequent encounter
56819 S68119S 1 Complete traumatic MCP amputation of unsp finger, sequela    Complete traumatic metacarpophalangeal amputation of unspecified finger, sequela
56820 S6812   0 Partial traumatic MCP amputation of and unsp finger          Partial traumatic metacarpophalangeal amputation of other and unspecified finger
56821 S68120  0 Partial traumatic MCP amputation of right index finger       Partial traumatic metacarpophalangeal amputation of right index finger
56822 S68120A 1 Partial traumatic MCP amputation of right index finger, init Partial traumatic metacarpophalangeal amputation of right index finger, initial encounter
56823 S68120D 1 Partial traumatic MCP amputation of right index finger, subs Partial traumatic metacarpophalangeal amputation of right index finger, subsequent encounter
56824 S68120S 1 Partial traumatic MCP amputation of r idx fngr, sequela      Partial traumatic metacarpophalangeal amputation of right index finger, sequela
56825 S68121  0 Partial traumatic MCP amputation of left index finger        Partial traumatic metacarpophalangeal amputation of left index finger
56826 S68121A 1 Partial traumatic MCP amputation of left index finger, init  Partial traumatic metacarpophalangeal amputation of left index finger, initial encounter
56827 S68121D 1 Partial traumatic MCP amputation of left index finger, subs  Partial traumatic metacarpophalangeal amputation of left index finger, subsequent encounter
56828 S68121S 1 Partial traumatic MCP amputation of l idx fngr, sequela      Partial traumatic metacarpophalangeal amputation of left index finger, sequela
56829 S68122  0 Partial traumatic MCP amputation of right middle finger      Partial traumatic metacarpophalangeal amputation of right middle finger
56830 S68122A 1 Partial traumatic MCP amputation of r mid finger, init       Partial traumatic metacarpophalangeal amputation of right middle finger, initial encounter
56831 S68122D 1 Partial traumatic MCP amputation of r mid finger, subs       Partial traumatic metacarpophalangeal amputation of right middle finger, subsequent encounter
56832 S68122S 1 Partial traumatic MCP amputation of r mid finger, sequela    Partial traumatic metacarpophalangeal amputation of right middle finger, sequela
56833 S68123  0 Partial traumatic MCP amputation of left middle finger       Partial traumatic metacarpophalangeal amputation of left middle finger
56834 S68123A 1 Partial traumatic MCP amputation of left middle finger, init Partial traumatic metacarpophalangeal amputation of left middle finger, initial encounter
56835 S68123D 1 Partial traumatic MCP amputation of left middle finger, subs Partial traumatic metacarpophalangeal amputation of left middle finger, subsequent encounter
56836 S68123S 1 Partial traumatic MCP amputation of l mid finger, sequela    Partial traumatic metacarpophalangeal amputation of left middle finger, sequela
56837 S68124  0 Partial traumatic MCP amputation of right ring finger        Partial traumatic metacarpophalangeal amputation of right ring finger
56838 S68124A 1 Partial traumatic MCP amputation of right ring finger, init  Partial traumatic metacarpophalangeal amputation of right ring finger, initial encounter
56839 S68124D 1 Partial traumatic MCP amputation of right ring finger, subs  Partial traumatic metacarpophalangeal amputation of right ring finger, subsequent encounter
56840 S68124S 1 Partial traumatic MCP amputation of r rng fngr, sequela      Partial traumatic metacarpophalangeal amputation of right ring finger, sequela
56841 S68125  0 Partial traumatic MCP amputation of left ring finger         Partial traumatic metacarpophalangeal amputation of left ring finger
56842 S68125A 1 Partial traumatic MCP amputation of left ring finger, init   Partial traumatic metacarpophalangeal amputation of left ring finger, initial encounter
56843 S68125D 1 Partial traumatic MCP amputation of left ring finger, subs   Partial traumatic metacarpophalangeal amputation of left ring finger, subsequent encounter
56844 S68125S 1 Partial traumatic MCP amputation of l rng fngr, sequela      Partial traumatic metacarpophalangeal amputation of left ring finger, sequela
56845 S68126  0 Partial traumatic MCP amputation of right little finger      Partial traumatic metacarpophalangeal amputation of right little finger
56846 S68126A 1 Partial traumatic MCP amputation of r little finger, init    Partial traumatic metacarpophalangeal amputation of right little finger, initial encounter
56847 S68126D 1 Partial traumatic MCP amputation of r little finger, subs    Partial traumatic metacarpophalangeal amputation of right little finger, subsequent encounter
56848 S68126S 1 Partial traumatic MCP amputation of r little finger, sequela Partial traumatic metacarpophalangeal amputation of right little finger, sequela
56849 S68127  0 Partial traumatic MCP amputation of left little finger       Partial traumatic metacarpophalangeal amputation of left little finger
56850 S68127A 1 Partial traumatic MCP amputation of left little finger, init Partial traumatic metacarpophalangeal amputation of left little finger, initial encounter
56851 S68127D 1 Partial traumatic MCP amputation of left little finger, subs Partial traumatic metacarpophalangeal amputation of left little finger, subsequent encounter
56852 S68127S 1 Partial traumatic MCP amputation of l little finger, sequela Partial traumatic metacarpophalangeal amputation of left little finger, sequela
56853 S68128  0 Partial traumatic metacarpophalangeal amputation of finger   Partial traumatic metacarpophalangeal amputation of other finger
56854 S68128A 1 Partial traumatic MCP amputation of finger, init             Partial traumatic metacarpophalangeal amputation of other finger, initial encounter
56855 S68128D 1 Partial traumatic MCP amputation of finger, subs             Partial traumatic metacarpophalangeal amputation of other finger, subsequent encounter
56856 S68128S 1 Partial traumatic MCP amputation of finger, sequela          Partial traumatic metacarpophalangeal amputation of other finger, sequela
56857 S68129  0 Partial traumatic MCP amputation of unsp finger              Partial traumatic metacarpophalangeal amputation of unspecified finger
56858 S68129A 1 Partial traumatic MCP amputation of unsp finger, init        Partial traumatic metacarpophalangeal amputation of unspecified finger, initial encounter
56859 S68129D 1 Partial traumatic MCP amputation of unsp finger, subs        Partial traumatic metacarpophalangeal amputation of unspecified finger, subsequent encounter
56860 S68129S 1 Partial traumatic MCP amputation of unsp finger, sequela     Partial traumatic metacarpophalangeal amputation of unspecified finger, sequela
56861 S684    0 Traumatic amputation of hand at wrist level                  Traumatic amputation of hand at wrist level
56862 S6841   0 Complete traumatic amputation of hand at wrist level         Complete traumatic amputation of hand at wrist level
56863 S68411  0 Complete traumatic amputation of right hand at wrist level   Complete traumatic amputation of right hand at wrist level
56864 S68411A 1 Complete traumatic amp of right hand at wrist level, init    Complete traumatic amputation of right hand at wrist level, initial encounter
56865 S68411D 1 Complete traumatic amp of right hand at wrist level, subs    Complete traumatic amputation of right hand at wrist level, subsequent encounter
56866 S68411S 1 Complete traumatic amp of right hand at wrist level, sequela Complete traumatic amputation of right hand at wrist level, sequela
56867 S68412  0 Complete traumatic amputation of left hand at wrist level    Complete traumatic amputation of left hand at wrist level
56868 S68412A 1 Complete traumatic amp of left hand at wrist level, init     Complete traumatic amputation of left hand at wrist level, initial encounter
56869 S68412D 1 Complete traumatic amp of left hand at wrist level, subs     Complete traumatic amputation of left hand at wrist level, subsequent encounter
56870 S68412S 1 Complete traumatic amp of left hand at wrist level, sequela  Complete traumatic amputation of left hand at wrist level, sequela
56871 S68419  0 Complete traumatic amputation of unsp hand at wrist level    Complete traumatic amputation of unspecified hand at wrist level
56872 S68419A 1 Complete traumatic amp of unsp hand at wrist level, init     Complete traumatic amputation of unspecified hand at wrist level, initial encounter
56873 S68419D 1 Complete traumatic amp of unsp hand at wrist level, subs     Complete traumatic amputation of unspecified hand at wrist level, subsequent encounter
56874 S68419S 1 Complete traumatic amp of unsp hand at wrist level, sequela  Complete traumatic amputation of unspecified hand at wrist level, sequela
56875 S6842   0 Partial traumatic amputation of hand at wrist level          Partial traumatic amputation of hand at wrist level
56876 S68421  0 Partial traumatic amputation of right hand at wrist level    Partial traumatic amputation of right hand at wrist level
56877 S68421A 1 Partial traumatic amp of right hand at wrist level, init     Partial traumatic amputation of right hand at wrist level, initial encounter
56878 S68421D 1 Partial traumatic amp of right hand at wrist level, subs     Partial traumatic amputation of right hand at wrist level, subsequent encounter
56879 S68421S 1 Partial traumatic amp of right hand at wrist level, sequela  Partial traumatic amputation of right hand at wrist level, sequela
56880 S68422  0 Partial traumatic amputation of left hand at wrist level     Partial traumatic amputation of left hand at wrist level
56881 S68422A 1 Partial traumatic amp of left hand at wrist level, init      Partial traumatic amputation of left hand at wrist level, initial encounter
56882 S68422D 1 Partial traumatic amp of left hand at wrist level, subs      Partial traumatic amputation of left hand at wrist level, subsequent encounter
56883 S68422S 1 Partial traumatic amp of left hand at wrist level, sequela   Partial traumatic amputation of left hand at wrist level, sequela
56884 S68429  0 Partial traumatic amputation of unsp hand at wrist level     Partial traumatic amputation of unspecified hand at wrist level
56885 S68429A 1 Partial traumatic amp of unsp hand at wrist level, init      Partial traumatic amputation of unspecified hand at wrist level, initial encounter
56886 S68429D 1 Partial traumatic amp of unsp hand at wrist level, subs      Partial traumatic amputation of unspecified hand at wrist level, subsequent encounter
56887 S68429S 1 Partial traumatic amp of unsp hand at wrist level, sequela   Partial traumatic amputation of unspecified hand at wrist level, sequela
56888 S685    0 Traumatic transphalangeal amputation of thumb                Traumatic transphalangeal amputation of thumb
56889 S6851   0 Complete traumatic transphalangeal amputation of thumb       Complete traumatic transphalangeal amputation of thumb
56890 S68511  0 Complete traumatic transphalangeal amputation of right thumb Complete traumatic transphalangeal amputation of right thumb
56891 S68511A 1 Complete traumatic trnsphal amputation of right thumb, init  Complete traumatic transphalangeal amputation of right thumb, initial encounter
56892 S68511D 1 Complete traumatic trnsphal amputation of right thumb, subs  Complete traumatic transphalangeal amputation of right thumb, subsequent encounter
56893 S68511S 1 Complete traumatic trnsphal amputation of r thm, sequela     Complete traumatic transphalangeal amputation of right thumb, sequela
56894 S68512  0 Complete traumatic transphalangeal amputation of left thumb  Complete traumatic transphalangeal amputation of left thumb
56895 S68512A 1 Complete traumatic trnsphal amputation of left thumb, init   Complete traumatic transphalangeal amputation of left thumb, initial encounter
56896 S68512D 1 Complete traumatic trnsphal amputation of left thumb, subs   Complete traumatic transphalangeal amputation of left thumb, subsequent encounter
56897 S68512S 1 Complete traumatic trnsphal amp of left thumb, sequela       Complete traumatic transphalangeal amputation of left thumb, sequela
56898 S68519  0 Complete traumatic transphalangeal amputation of unsp thumb  Complete traumatic transphalangeal amputation of unspecified thumb
56899 S68519A 1 Complete traumatic transphalangeal amputation of thmb, init  Complete traumatic transphalangeal amputation of unspecified thumb, initial encounter
56900 S68519D 1 Complete traumatic transphalangeal amputation of thmb, subs  Complete traumatic transphalangeal amputation of unspecified thumb, subsequent encounter
56901 S68519S 1 Complete traumatic trnsphal amputation of thmb, sequela      Complete traumatic transphalangeal amputation of unspecified thumb, sequela
56902 S6852   0 Partial traumatic transphalangeal amputation of thumb        Partial traumatic transphalangeal amputation of thumb
56903 S68521  0 Partial traumatic transphalangeal amputation of right thumb  Partial traumatic transphalangeal amputation of right thumb
56904 S68521A 1 Partial traumatic trnsphal amputation of right thumb, init   Partial traumatic transphalangeal amputation of right thumb, initial encounter
56905 S68521D 1 Partial traumatic trnsphal amputation of right thumb, subs   Partial traumatic transphalangeal amputation of right thumb, subsequent encounter
56906 S68521S 1 Partial traumatic trnsphal amputation of r thm, sequela      Partial traumatic transphalangeal amputation of right thumb, sequela
56907 S68522  0 Partial traumatic transphalangeal amputation of left thumb   Partial traumatic transphalangeal amputation of left thumb
56908 S68522A 1 Partial traumatic trnsphal amputation of left thumb, init    Partial traumatic transphalangeal amputation of left thumb, initial encounter
56909 S68522D 1 Partial traumatic trnsphal amputation of left thumb, subs    Partial traumatic transphalangeal amputation of left thumb, subsequent encounter
56910 S68522S 1 Partial traumatic trnsphal amputation of left thumb, sequela Partial traumatic transphalangeal amputation of left thumb, sequela
56911 S68529  0 Partial traumatic transphalangeal amputation of unsp thumb   Partial traumatic transphalangeal amputation of unspecified thumb
56912 S68529A 1 Partial traumatic transphalangeal amputation of thmb, init   Partial traumatic transphalangeal amputation of unspecified thumb, initial encounter
56913 S68529D 1 Partial traumatic transphalangeal amputation of thmb, subs   Partial traumatic transphalangeal amputation of unspecified thumb, subsequent encounter
56914 S68529S 1 Partial traumatic trnsphal amputation of thmb, sequela       Partial traumatic transphalangeal amputation of unspecified thumb, sequela
56915 S686    0 Traumatic transphalangeal amputation of oth and unsp finger  Traumatic transphalangeal amputation of other and unspecified finger
56916 S6861   0 Complete traumatic trnsphal amputation of and unsp finger(s) Complete traumatic transphalangeal amputation of other and unspecified finger(s)
56917 S68610  0 Complete traumatic transphalangeal amputation of r idx fngr  Complete traumatic transphalangeal amputation of right index finger
56918 S68610A 1 Complete traumatic trnsphal amputation of r idx fngr, init   Complete traumatic transphalangeal amputation of right index finger, initial encounter
56919 S68610D 1 Complete traumatic trnsphal amputation of r idx fngr, subs   Complete traumatic transphalangeal amputation of right index finger, subsequent encounter
56920 S68610S 1 Complete traumatic trnsphal amp of r idx fngr, sequela       Complete traumatic transphalangeal amputation of right index finger, sequela
56921 S68611  0 Complete traumatic transphalangeal amputation of l idx fngr  Complete traumatic transphalangeal amputation of left index finger
56922 S68611A 1 Complete traumatic trnsphal amputation of l idx fngr, init   Complete traumatic transphalangeal amputation of left index finger, initial encounter
56923 S68611D 1 Complete traumatic trnsphal amputation of l idx fngr, subs   Complete traumatic transphalangeal amputation of left index finger, subsequent encounter
56924 S68611S 1 Complete traumatic trnsphal amp of l idx fngr, sequela       Complete traumatic transphalangeal amputation of left index finger, sequela
56925 S68612  0 Complete traumatic trnsphal amputation of r mid finger       Complete traumatic transphalangeal amputation of right middle finger
56926 S68612A 1 Complete traumatic trnsphal amputation of r mid finger, init Complete traumatic transphalangeal amputation of right middle finger, initial encounter
56927 S68612D 1 Complete traumatic trnsphal amputation of r mid finger, subs Complete traumatic transphalangeal amputation of right middle finger, subsequent encounter
56928 S68612S 1 Complete traumatic trnsphal amp of r mid finger, sequela     Complete traumatic transphalangeal amputation of right middle finger, sequela
56929 S68613  0 Complete traumatic trnsphal amputation of l mid finger       Complete traumatic transphalangeal amputation of left middle finger
56930 S68613A 1 Complete traumatic trnsphal amputation of l mid finger, init Complete traumatic transphalangeal amputation of left middle finger, initial encounter
56931 S68613D 1 Complete traumatic trnsphal amputation of l mid finger, subs Complete traumatic transphalangeal amputation of left middle finger, subsequent encounter
56932 S68613S 1 Complete traumatic trnsphal amp of l mid finger, sequela     Complete traumatic transphalangeal amputation of left middle finger, sequela
56933 S68614  0 Complete traumatic transphalangeal amputation of r rng fngr  Complete traumatic transphalangeal amputation of right ring finger
56934 S68614A 1 Complete traumatic trnsphal amputation of r rng fngr, init   Complete traumatic transphalangeal amputation of right ring finger, initial encounter
56935 S68614D 1 Complete traumatic trnsphal amputation of r rng fngr, subs   Complete traumatic transphalangeal amputation of right ring finger, subsequent encounter
56936 S68614S 1 Complete traumatic trnsphal amp of r rng fngr, sequela       Complete traumatic transphalangeal amputation of right ring finger, sequela
56937 S68615  0 Complete traumatic transphalangeal amputation of l rng fngr  Complete traumatic transphalangeal amputation of left ring finger
56938 S68615A 1 Complete traumatic trnsphal amputation of l rng fngr, init   Complete traumatic transphalangeal amputation of left ring finger, initial encounter
56939 S68615D 1 Complete traumatic trnsphal amputation of l rng fngr, subs   Complete traumatic transphalangeal amputation of left ring finger, subsequent encounter
56940 S68615S 1 Complete traumatic trnsphal amp of l rng fngr, sequela       Complete traumatic transphalangeal amputation of left ring finger, sequela
56941 S68616  0 Complete traumatic trnsphal amputation of r little finger    Complete traumatic transphalangeal amputation of right little finger
56942 S68616A 1 Complete traumatic trnsphal amp of r little finger, init     Complete traumatic transphalangeal amputation of right little finger, initial encounter
56943 S68616D 1 Complete traumatic trnsphal amp of r little finger, subs     Complete traumatic transphalangeal amputation of right little finger, subsequent encounter
56944 S68616S 1 Complete traumatic trnsphal amp of r little finger, sequela  Complete traumatic transphalangeal amputation of right little finger, sequela
56945 S68617  0 Complete traumatic trnsphal amputation of l little finger    Complete traumatic transphalangeal amputation of left little finger
56946 S68617A 1 Complete traumatic trnsphal amp of l little finger, init     Complete traumatic transphalangeal amputation of left little finger, initial encounter
56947 S68617D 1 Complete traumatic trnsphal amp of l little finger, subs     Complete traumatic transphalangeal amputation of left little finger, subsequent encounter
56948 S68617S 1 Complete traumatic trnsphal amp of l little finger, sequela  Complete traumatic transphalangeal amputation of left little finger, sequela
56949 S68618  0 Complete traumatic transphalangeal amputation of oth finger  Complete traumatic transphalangeal amputation of other finger
56950 S68618A 1 Complete traumatic trnsphal amputation of finger, init       Complete traumatic transphalangeal amputation of other finger, initial encounter
56951 S68618D 1 Complete traumatic trnsphal amputation of finger, subs       Complete traumatic transphalangeal amputation of other finger, subsequent encounter
56952 S68618S 1 Complete traumatic trnsphal amputation of finger, sequela    Complete traumatic transphalangeal amputation of other finger, sequela
56953 S68619  0 Complete traumatic transphalangeal amputation of unsp finger Complete traumatic transphalangeal amputation of unspecified finger
56954 S68619A 1 Complete traumatic trnsphal amputation of unsp finger, init  Complete traumatic transphalangeal amputation of unspecified finger, initial encounter
56955 S68619D 1 Complete traumatic trnsphal amputation of unsp finger, subs  Complete traumatic transphalangeal amputation of unspecified finger, subsequent encounter
56956 S68619S 1 Complete traumatic trnsphal amp of unsp finger, sequela      Complete traumatic transphalangeal amputation of unspecified finger, sequela
56957 S6862   0 Partial traumatic trnsphal amputation of and unsp finger     Partial traumatic transphalangeal amputation of other and unspecified finger
56958 S68620  0 Partial traumatic transphalangeal amputation of r idx fngr   Partial traumatic transphalangeal amputation of right index finger
56959 S68620A 1 Partial traumatic trnsphal amputation of r idx fngr, init    Partial traumatic transphalangeal amputation of right index finger, initial encounter
56960 S68620D 1 Partial traumatic trnsphal amputation of r idx fngr, subs    Partial traumatic transphalangeal amputation of right index finger, subsequent encounter
56961 S68620S 1 Partial traumatic trnsphal amputation of r idx fngr, sequela Partial traumatic transphalangeal amputation of right index finger, sequela
56962 S68621  0 Partial traumatic transphalangeal amputation of l idx fngr   Partial traumatic transphalangeal amputation of left index finger
56963 S68621A 1 Partial traumatic trnsphal amputation of l idx fngr, init    Partial traumatic transphalangeal amputation of left index finger, initial encounter
56964 S68621D 1 Partial traumatic trnsphal amputation of l idx fngr, subs    Partial traumatic transphalangeal amputation of left index finger, subsequent encounter
56965 S68621S 1 Partial traumatic trnsphal amputation of l idx fngr, sequela Partial traumatic transphalangeal amputation of left index finger, sequela
56966 S68622  0 Partial traumatic transphalangeal amputation of r mid finger Partial traumatic transphalangeal amputation of right middle finger
